
Virus Strain Name,Accession ID,Data Source,Related ID,Nuc.Completeness,Sequence Length,Sequence Quality,Quality Assessment,Host,Sample Collection Date,Location,Originating Lab,Submission Date,Submitting Lab
hCoV-19/China/Shanghai/SH0066,EPI_ISL_416369,GISAID,,Complete,29812,Low,202/0/NA/NA/NA,Homo sapiens,2020-02-05,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0067,EPI_ISL_416370,GISAID,,Complete,29836,High,6/0/0/2/NO,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0068,EPI_ISL_416371,GISAID,,Complete,29812,Low,2113/0/NA/NA/NA,Homo sapiens,2020-02-05,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0069,EPI_ISL_416372,GISAID,,Complete,29836,High,2/0/0/4/NO,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0070,EPI_ISL_416373,GISAID,,Complete,29835,High,0/0/0/6/NO,Homo sapiens,2020-02-07,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0071,EPI_ISL_416374,GISAID,,Complete,29816,Low,1791/0/NA/NA/NA,Homo sapiens,2020-02-07,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0072,EPI_ISL_416375,GISAID,,Complete,29816,Low,363/0/NA/NA/NA,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0073,EPI_ISL_416376,GISAID,,Complete,29835,High,0/0/0/0/NO,Homo sapiens,2020-02-05,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0074,EPI_ISL_416377,GISAID,,Complete,29836,High,0/0/0/3/NO,Homo sapiens,2020-02-07,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0075,EPI_ISL_416378,GISAID,,Complete,29812,Low,205/0/NA/NA/NA,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0076,EPI_ISL_416379,GISAID,,Complete,29812,High,12/0/0/2/NO,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0077,EPI_ISL_416380,GISAID,,Complete,29836,High,0/0/0/1/NO,Homo sapiens,2020-02-09,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0079,EPI_ISL_416381,GISAID,,Complete,29836,High,0/0/0/5/NO,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0080,EPI_ISL_416382,GISAID,,Complete,29835,High,0/0/0/9/NO,Homo sapiens,2020-02-08,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0081,EPI_ISL_416383,GISAID,,Complete,29812,Low,1067/0/NA/NA/NA,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0083,EPI_ISL_416384,GISAID,,Complete,29835,Low,253/0/NA/NA/NA,Homo sapiens,2020-02-04,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0085,EPI_ISL_416385,GISAID,,Complete,29812,Low,1214/0/NA/NA/NA,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0086,EPI_ISL_416386,GISAID,,Complete,29812,Low,624/0/NA/NA/NA,Homo sapiens,2020-01-31,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0088,EPI_ISL_416387,GISAID,,Complete,29812,High,1/0/0/3/NO,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0091,EPI_ISL_416388,GISAID,,Complete,29812,Low,1190/0/NA/NA/NA,Homo sapiens,2020-02-05,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0093,EPI_ISL_416389,GISAID,,Complete,29835,High,1/0/0/2/NO,Homo sapiens,2020-01-21,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0094,EPI_ISL_416390,GISAID,,Complete,29812,High,0/0/0/4/NO,Homo sapiens,2020-01-31,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0098,EPI_ISL_416391,GISAID,,Complete,29812,Low,943/0/NA/NA/NA,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0100,EPI_ISL_416392,GISAID,,Complete,29812,Low,388/0/NA/NA/NA,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0101,EPI_ISL_416393,GISAID,,Complete,29836,High,0/0/0/1/NO,Homo sapiens,2020-02-09,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0102,EPI_ISL_416394,GISAID,,Complete,29836,High,0/0/0/1/NO,Homo sapiens,2020-02-14,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0104,EPI_ISL_416395,GISAID,,Complete,29812,Low,2845/0/NA/NA/NA,Homo sapiens,2020-02-09,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0106,EPI_ISL_416396,GISAID,,Complete,29812,Low,191/0/NA/NA/NA,Homo sapiens,2020-02-10,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0107,EPI_ISL_416397,GISAID,,Complete,29835,High,0/0/0/5/NO,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0109,EPI_ISL_416398,GISAID,,Complete,29835,High,0/0/0/3/NO,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0110,EPI_ISL_416399,GISAID,,Complete,29836,High,0/0/0/3/NO,Homo sapiens,2020-02-13,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0112,EPI_ISL_416400,GISAID,,Complete,29812,Low,227/0/NA/NA/NA,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0114,EPI_ISL_416401,GISAID,,Complete,29836,High,0/0/0/3/NO,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0115,EPI_ISL_416402,GISAID,,Complete,29836,High,0/0/0/3/NO,Homo sapiens,2020-02-11,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0117,EPI_ISL_416403,GISAID,,Complete,29836,High,0/0/0/6/NO,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0119,EPI_ISL_416404,GISAID,,Complete,29836,High,0/0/0/0/NO,Homo sapiens,2020-02-09,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0121,EPI_ISL_416405,GISAID,,Complete,29836,High,0/0/0/1/NO,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0125,EPI_ISL_416406,GISAID,,Complete,29812,High,2/0/0/9/NO,Homo sapiens,2020-02-15,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0126,EPI_ISL_416407,GISAID,,Complete,29836,High,0/0/0/8/NO,Homo sapiens,2020-02-15,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
